25276,2022 03 22.1,59661.66769,CK22E030,4.075,4.496,Pict,-,-,16.7,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25367,2022 04 13.1,59683.63655,C/2022 E3 (ZTF),3.844,3.953,Pict,-,-,16.1,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25372,2022 04 20.3,59690.81753,C/2022 E3 (ZTF),3.771,3.776,Pict,-,-,16.1,-,-,-,-,-,350,L,-,5.6,X03,jlvirlichie
25523,2022 05 01.0,59701.59571,C/2022 E3 (ZTF),3.654,3.498,Pict,-,-,15.4,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25541,2022 05 06.0,59706.57708,C/2022 E3 (ZTF),3.601,3.373,Pict,-,15.5,15.8,0.3,7,0.004,245,940,407,L,0.2,6,-,nbiver
25547,2022 05 10.1,59710.6012,C/2022 E3 (ZTF),3.558,3.275,Pict,-,-,15.2,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25567,2022 05 16.3,59716.81801,C/2022 E3 (ZTF),3.494,3.132,Pict,-,-,15.5,-,-,-,-,-,350,L,-,6,X03,ptraverse
25607,2022 06 01.9,59733.43075,C/2022 E3 (ZTF),3.321,2.776,Pict,-,-,14.2,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
25621,2022 06 04.9,59736.41148,C/2022 E3 (ZTF),3.288,2.716,Pict,-,-,14.1,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
25636,2022 06 17.9,59749.40811,C/2022 E3 (ZTF),3.146,2.482,Pict,-,-,14.9,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25637,2022 06 20.0,59751.54271,C/2022 E3 (ZTF),3.112,2.435,Pict,-,-,14.3,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25643,2022 06 24.9,59756.41102,C/2022 E3 (ZTF),3.068,2.377,Pict,-,-,14.7,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25646,2022 06 26.9,59758.40224,C/2022 E3 (ZTF),3.046,2.351,Pict,-,-,14.2,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25653,2022 06 29.0,59760.5011,C/2022 E3 (ZTF),3.013,2.313,-,-,-,14.5,-,-,-,-,-,160,L,-,7,A58,jbdevanssay
25659,2022 07 01.8,59763.36089,C/2022 E3 (ZTF),2.99,2.29,Pict,-,-,14.6,-,-,-,-,-,300,L,-,6.25,G20,ydegotlonghi
25668,2022 07 02.9,59764.4179,C/2022 E3 (ZTF),2.979,2.279,Pict,-,-,14.5,-,-,-,-,-,200,L,-,-,Z97,aleroy
25664,2022 07 02.9,59764.45812,C/2022 E3 (ZTF),2.979,2.279,Pict,-,-,13.9,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
25701,2022 07 15.8,59777.36054,C/2022 E3 (ZTF),2.833,2.171,Pict,-,-,14.4,-,-,-,-,-,300,L,-,6.25,G20,ydegotlonghi
25707,2022 07 16.8,59778.39267,C/2022 E3 (ZTF),2.822,2.165,Pict,-,-,13.6,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
25714,2022 07 19.9,59781.46598,C/2022 E3 (ZTF),2.788,2.149,Pict,-,-,14.1,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
25722,2022 07 21.8,59783.38677,C/2022 E3 (ZTF),2.766,2.141,Pict,-,-,15,0.8,-,-,-,-,540,L,-,5.6,K97,pditz
25725,2022 07 23.9,59785.43819,C/2022 E3 (ZTF),2.743,2.134,Pict,-,-,15,-,-,-,-,-,250,L,-,6.24,-,lrousselot
25730,2022 07 24.9,59786.40277,C/2022 E3 (ZTF),2.732,2.131,Pict,-,-,14.4,-,-,-,-,-,250,L,-,6.24,-,lrousselot
25741,2022 07 25.9,59787.45172,C/2022 E3 (ZTF),2.72,2.128,-,-,-,14.3,-,-,-,-,-,410,L,-,5.6,A77,jnicolas
25733,2022 07 26.0,59787.53445,C/2022 E3 (ZTF),2.709,2.126,Pict,-,-,14.2,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25743,2022 07 26.7,59788.27863,C/2022 E3 (ZTF),2.709,2.126,Pict,-,-,13.9,-,-,-,-,-,355,T,-,-,XXX,aleroy
25763,2022 07 30.8,59792.3831,C/2022 E3 (ZTF),2.663,2.119,Pict,-,13.1,14.2,-,-,-,-,-,400,L,0.2,5.8,A77,fkugel
25796,2022 08 02.8,59795.3631,C/2022 E3 (ZTF),2.629,2.117,Pict,-,-,14.4,-,-,-,-,-,410,L,-,5.6,A77,jnicolas
25797,2022 08 02.8,59795.37361,C/2022 E3 (ZTF),2.629,2.117,Pict,-,-,15,-,-,-,-,-,250,L,-,6.24,-,lrousselot
25789,2022 08 02.9,59795.43881,C/2022 E3 (ZTF),2.629,2.117,Pict,-,-,14.2,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25828,2022 08 07.8,59800.38549,C/2022 E3 (ZTF),2.572,2.118,Pict,-,-,14,-,-,-,-,-,120,R,-,12,XXX,jlvirlichie
25846,2022 08 13.8,59806.34896,C/2022 E3 (ZTF),2.503,2.127,Pict,-,-,14.1,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25853,2022 08 15.8,59808.33571,C/2022 E3 (ZTF),2.481,2.131,Pict,-,-,13.8,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
25864,2022 08 19.8,59812.32774,C/2022 E3 (ZTF),2.435,2.141,Pict,-,-,14.1,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25879,2022 08 22.8,59815.3935,C/2022 E3 (ZTF),2.4,2.15,Pict,-,-,13.6,-,-,-,-,-,120,R,-,12,XXX,jlvirlichie
25897,2022 08 25.8,59818.34657,C/2022 E3 (ZTF),2.366,2.16,Pict,-,-,13.1,-,-,-,-,-,200,L,-,7.14,G20,ydegotlonghi
25917,2022 08 27.8,59820.39791,C/2022 E3 (ZTF),2.343,2.167,Pict,-,12.8,14,0.9,7,0.06,116,1265,407,L,0.6,6,-,nbiver
25924,2022 08 29.8,59822.30817,C/2022 E3 (ZTF),2.32,2.174,Pict,-,-,13.9,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25914,2022 08 29.8,59822.32155,C/2022 E3 (ZTF),2.32,2.174,Pict,-,-,13.9,-,-,-,-,-,400,L,-,5.8,A77,fkugel
25943,2022 09 05.8,59829.30971,C/2022 E3 (ZTF),2.239,2.199,Pict,-,-,13.4,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
25958,2022 09 11.7,59835.29165,C/2022 E3 (ZTF),2.17,2.218,Pict,-,-,13.7,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25962,2022 09 12.8,59836.33789,C/2022 E3 (ZTF),2.158,2.221,Pict,-,12,13.4,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
25978,2022 09 15.7,59839.29996,C/2022 E3 (ZTF),2.123,2.23,Pict,-,-,13.7,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
25985,2022 09 17.7,59841.29432,C/2022 E3 (ZTF),2.1,2.236,Pict,-,-,12.8,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
26020,2022 09 21.7,59845.29751,C/2022 E3 (ZTF),2.054,2.245,Pict,-,-,13.7,-,-,-,-,-,200,L,-,6.25,G20,ydegotlonghi
26034,2022 09 25.0,59848.59775,C/2022 E3 (ZTF),2.008,2.251,Pict,-,-,13,-,-,0.1,-,-,250,L,-,6.6,H06,jbdevanssay
26061,2022 10 03.7,59857.28172,C/2022 E3 (ZTF),1.917,2.257,Pict,-,-,14.6,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
26079,2022 10 05.7,59859.26075,C/2022 E3 (ZTF),-,-,Pict,-,-,13.2,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26115,2022 10 14.7,59868.24569,C/2022 E3 (ZTF),1.793,2.241,Pict,-,11.7,13.3,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26136,2022 10 16.7,59870.27417,C/2022 E3 (ZTF),1.77,2.235,Pict,-,11.7,13.2,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26186,2022 10 25.7,59879.25837,C/2022 E3 (ZTF),1.671,2.195,Pict,-,11.8,13.2,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26287,2022 10 25.8,59879.30763,C/2022 E3 (ZTF),1.671,2.195,Pict,-,11.4,-,-,-,-,-,-,200,A,-,-,-,lmokhtari
26192,2022 10 26.7,59880.25056,C/2022 E3 (ZTF),1.66,2.189,Pict,-,11.4,13.1,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26206,2022 10 27.7,59881.23118,C/2022 E3 (ZTF),1.649,2.183,Pict,-,11.3,13.6,-,-,-,-,-,400,L,0.4,5.8,A77,jgbosch
26239,2022 11 02.7,59887.2509,C/2022 E3 (ZTF),1.585,2.139,Pict,-,11.3,13,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26276,2022 11 06.7,59891.22288,C/2022 E3 (ZTF),1.543,2.103,Pict,-,11.2,12.4,-,-,-,-,-,400,L,-,5.8,A77,jgbosch
26300,2022 11 13.7,59898.22311,C/2022 E3 (ZTF),1.472,2.028,Pict,-,11.1,12.7,-,-,-,-,2630,400,L,0.4,5.8,A77,fkugel
26316,2022 11 16.7,59901.21589,C/2022 E3 (ZTF),1.443,1.99,Pict,-,10.9,12.2,-,-,-,-,-,400,L,0.4,5.8,A77,jgbosch
26355,2022 11 22.7,59907.23025,C/2022 E3 (ZTF),1.386,1.906,Pict,-,10.5,12.6,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26418,2022 11 29.7,59914.21326,C/2022 E3 (ZTF),1.324,1.793,Pict,-,-,12.4,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26449,2022 12 05.2,59919.72902,C/2022 E3 (ZTF),1.276,1.681,Pict,-,9.7,11.4,-,-,-,-,2462,400,L,0.4,5.8,A77,fkugel
26463,2022 12 07.2,59921.72919,C/2022 E3 (ZTF),1.261,1.642,Pict,-,10.2,12,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26469,2022 12 08.2,59922.72032,C/2022 E3 (ZTF),1.253,1.621,Pict,-,9.6,11.4,-,-,-,-,-,250,L,0.74,7.45,L27,jfsoulier
26494,2022 12 17.2,59931.7495,C/2022 E3 (ZTF),1.194,1.423,Pict,-,10,11.7,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26525,2022 12 22.2,59936.73212,C/2022 E3 (ZTF),1.167,1.302,Pict,-,9.9,11.6,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26528,2022 12 23.2,59937.73841,C/2022 E3 (ZTF),1.162,1.276,Pict,-,9.9,11.6,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26537,2022 12 26.2,59940.72009,C/2022 E3 (ZTF),1.149,1.199,Pict,-,9.8,11.5,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26539,2022 12 27.2,59941.72451,C/2022 E3 (ZTF),1.145,1.173,Pict,-,9.6,11.5,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26555,2022 12 28.2,59942.71646,C/2022 E3 (ZTF),1.142,1.147,Pict,-,9.7,11.5,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26572,2023 01 02.1,59947.69094,C/2022 E3 (ZTF),1.126,1.011,Pict,-,9.6,11.4,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26586,2023 01 04.2,59949.72071,C/2022 E3 (ZTF),1.121,0.956,Pict,-,-,11.6,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26595,2023 01 05.2,59950.7375,C/2022 E3 (ZTF),1.119,0.928,-,Spec,-,-,-,-,-,-,-,110,R,-,-,K21,hboussier
26596,2023 01 09.1,59954.67593,C/2022 E3 (ZTF),1.114,0.815,Pict,-,-,11.4,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26594,2023 01 10.1,59955.6993,C/2022 E3 (ZTF),1.113,0.786,-,Spec,-,-,-,-,-,-,-,110,R,-,-,K21,hboussier
26604,2023 01 10.2,59955.7322,C/2022 E3 (ZTF),1.113,0.786,Pict,-,9.2,10.9,-,-,-,-,-,203,T,0.8,9.3,K21,hboussier
26598,2023 01 12.2,59957.70664,C/2022 E3 (ZTF),1.112,0.729,Pict,-,9.8,11.6,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26608,2023 01 14.1,59959.67734,C/2022 E3 (ZTF),1.112,0.672,Pict,-,-,11.5,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26621,2023 01 14.2,59959.70825,C/2022 E3 (ZTF),1.112,0.672,Pict,-,7.8,10.6,5.1,-,-,-,1536,410,L,2.5,8.4,A77,jnicolas
26626,2023 01 18.2,59963.71466,C/2022 E3 (ZTF),1.115,0.56,Pict,-,9.5,11.3,10.5,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26630,2023 01 18.2,59963.75,C/2022 E3 (ZTF),1.115,0.56,Pict,-,6.7,11.6,12,5,0.35,345,-,407,L,6.5,6,-,nbiver
26651,2023 01 21.0,59966.52346,C/2022 E3 (ZTF),1.12,0.479,Pict,-,-,10.6,-,-,-,-,-,430,L,-,-,958,pdupouy
26634,2023 01 21.1,59966.69791,C/2022 E3 (ZTF),1.12,0.479,-,-,5.9,-,-,-,-,-,-,30,B,-,-,A77,fkugel
26652,2023 01 21.2,59966.75514,C/2022 E3 (ZTF),1.12,0.479,Pict,-,-,10.5,-,-,-,-,-,203,-,-,12.4,K21,hboussier
26637,2023 01 22.1,59967.67986,C/2022 E3 (ZTF),1.122,0.454,-,Spec,-,-,-,-,-,-,-,23,Y,-,-,-,ebertrand
26641,2023 01 22.2,59967.70244,C/2022 E3 (ZTF),1.122,0.454,Pict,-,-,10.4,10.5,-,-,-,1515,80,R,-,9.3,A77,fkugel
26638,2023 01 22.2,59967.73843,C/2022 E3 (ZTF),1.122,0.454,Pict,-,7.9,10.4,10.5,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26645,2023 01 23.1,59968.6973,C/2022 E3 (ZTF),1.125,0.429,Pict,-,7.1,9.9,-,-,-,-,-,80,-,0.93,9.3,A77,fkugel
26644,2023 01 23.2,59968.70833,C/2022 E3 (ZTF),1.125,0.429,Pict,-,-,-,12.5,-,-,-,-,48,A,-,-,-,fkugel
26650,2023 01 24.1,59969.677,C/2022 E3 (ZTF),1.127,0.405,Pict,-,7.8,10,-,-,-,-,-,80,-,0.93,9.3,A77,fkugel
26649,2023 01 24.2,59969.74824,C/2022 E3 (ZTF),1.127,0.405,Pict,-,9.3,10.6,-,-,-,-,-,400,L,0.4,5.8,A77,jgbosch
26667,2023 01 25.0,59970.50426,C/2022 E3 (ZTF),1.13,0.382,Pict,-,-,10.4,-,-,-,-,-,430,L,-,-,958,pdupouy
26660,2023 01 25.1,59970.63903,C/2022 E3 (ZTF),1.13,0.382,Pict,-,8.9,10.5,-,-,-,-,-,400,L,0.4,5.8,A77,jgbosch
26662,2023 01 25.1,59970.67152,C/2022 E3 (ZTF),1.13,0.382,Pict,-,-,-,-,-,-,-,-,400,L,-,-,A77,jgbosch
26657,2023 01 25.2,59970.71547,C/2022 E3 (ZTF),1.13,0.382,Pict,-,7.9,9.9,-,-,-,-,1752,80,R,0.93,9.3,A77,fkugel
26676,2023 01 27.1,59972.68348,C/2022 E3 (ZTF),1.136,0.342,Pict,-,8.2,10.3,-,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26677,2023 01 27.1,59972.69741,C/2022 E3 (ZTF),1.136,0.342,Pict,-,8.2,10.3,-,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26672,2023 01 27.2,59972.73084,C/2022 E3 (ZTF),1.136,0.342,Pict,-,9.2,10.8,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26686,2023 01 29.1,59974.66042,C/2022 E3 (ZTF),1.143,0.31,Pict,-,8.6,10.3,-,-,-,-,-,400,L,0.4,5.8,A77,jgbosch
26683,2023 01 29.2,59974.71504,C/2022 E3 (ZTF),1.143,0.31,Pict,-,7.8,9.9,-,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26692,2023 01 29.8,59975.3125,C/2022 E3 (ZTF),1.143,0.31,-,Spec,-,-,-,-,-,-,-,203,Y,-,-,-,ebertrand
26693,2023 01 29.9,59975.44791,C/2022 E3 (ZTF),1.143,0.31,-,Spec,-,-,-,-,-,-,-,280,T,-,-,-,ebertrand
26694,2023 01 30.0,59975.53819,C/2022 E3 (ZTF),1.147,0.298,-,Spec,-,-,-,-,-,-,-,280,T,-,-,-,ebertrand
26690,2023 01 30.1,59975.69401,C/2022 E3 (ZTF),1.147,0.298,Pict,-,7.7,9.8,-,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26699,2023 01 31.1,59976.63826,C/2022 E3 (ZTF),1.151,0.29,-,-,6.7,8.7,-,-,-,-,-,80,R,1.86,18.6,A77,fkugel
26698,2023 01 31.1,59976.67708,C/2022 E3 (ZTF),1.151,0.29,Pict,-,-,-,-,-,-,-,-,48,A,-,-,-,fkugel
26825,2023 01 31.2,59976.71041,C/2022 E3 (ZTF),1.151,0.29,Pict,-,5.2,10.2,23,5,0.7,350,1710,407,L,12,6,-,nbiver
26705,2023 02 01.7,59978.26782,C/2022 E3 (ZTF),1.155,0.285,Pict,-,-,10,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26707,2023 02 02.1,59978.67594,C/2022 E3 (ZTF),1.16,0.284,Pict,-,7.6,10.1,15,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26791,2023 02 02.8,59979.34722,C/2022 E3 (ZTF),1.16,0.284,Pict,-,-,-,-,-,-,-,-,820,L,-,-,-,pmartinez
26713,2023 02 02.8,59979.37468,C/2022 E3 (ZTF),1.16,0.284,Pict,-,-,9.9,6,-,-,203,-,106,R,-,6,XXX,pleguen
26715,2023 02 04.7,59981.25975,C/2022 E3 (ZTF),1.169,0.294,Pict,-,8.1,9.9,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26792,2023 02 04.9,59981.40625,C/2022 E3 (ZTF),1.169,0.294,Pict,-,-,-,-,-,-,-,-,820,L,-,-,-,pmartinez
26728,2023 02 06.7,59983.2449,C/2022 E3 (ZTF),1.18,0.317,Pict,Spec,6.8,8.6,-,-,-,-,-,203,-,1,13,K21,hboussier
26734,2023 02 06.7,59983.25355,C/2022 E3 (ZTF),1.18,0.317,Pict,-,-,10,-,-,-,-,-,430,L,-,-,958,pdupouy
26724,2023 02 06.8,59983.35183,C/2022 E3 (ZTF),1.18,0.317,-,-,-,11.4,-,-,-,-,-,320,L,-,6,B92,maudejean
26721,2023 02 07.7,59984.2554,C/2022 E3 (ZTF),1.185,0.333,Pict,-,-,10.6,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26726,2023 02 07.7,59984.28031,C/2022 E3 (ZTF),1.185,0.333,Pict,-,-,8,-,-,-,-,-,50,A,-,68,B83,tnoel
26725,2023 02 07.8,59984.32199,C/2022 E3 (ZTF),1.185,0.333,Pict,-,-,10.4,-,-,-,-,-,320,L,-,6,B92,maudejean
26737,2023 02 08.7,59985.29166,C/2022 E3 (ZTF),1.191,0.352,Pict,-,-,-,-,-,-,-,-,24,R,-,-,B83,tnoel
26743,2023 02 08.8,59985.34861,C/2022 E3 (ZTF),1.191,0.352,Pict,-,-,-,-,-,-,-,-,24,R,-,-,B83,tnoel
26730,2023 02 08.8,59985.38491,C/2022 E3 (ZTF),1.191,0.352,Pict,-,-,10.3,-,-,-,-,-,80,R,-,-,B83,tnoel
26733,2023 02 08.8,59985.38888,C/2022 E3 (ZTF),1.191,0.352,Pict,-,-,-,-,-,-,-,-,80,R,-,-,B83,tnoel
26751,2023 02 09.7,59986.28715,C/2022 E3 (ZTF),1.197,0.372,Pict,-,-,10.4,-,-,-,-,-,320,L,-,6,B92,maudejean
26739,2023 02 09.8,59986.30296,C/2022 E3 (ZTF),1.197,0.372,Pict,-,-,11,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26745,2023 02 10.7,59987.25196,C/2022 E3 (ZTF),1.203,0.395,Pict,-,7.9,10,-,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26746,2023 02 10.7,59987.25773,C/2022 E3 (ZTF),1.203,0.395,Pict,-,9.2,10.9,-,-,-,-,-,400,L,0.4,5.8,A77,fkugel
26744,2023 02 10.7,59987.27057,C/2022 E3 (ZTF),1.203,0.395,Pict,-,8.1,10.8,-,-,-,-,-,80,R,0.93,9.3,A77,fkugel
26749,2023 02 10.7,59987.27297,C/2022 E3 (ZTF),1.203,0.395,Pict,-,6.9,8.4,-,-,-,-,-,48,A,5,69,A77,fkugel
26752,2023 02 10.7,59987.28391,C/2022 E3 (ZTF),1.203,0.395,Pict,-,-,10.6,-,-,-,-,-,320,L,-,6,B92,maudejean
26750,2023 02 10.8,59987.31258,C/2022 E3 (ZTF),1.203,0.395,Pict,-,-,9.9,-,-,-,-,-,410,L,-,11.2,A77,jnicolas
26755,2023 02 11.7,59988.24675,C/2022 E3 (ZTF),1.209,0.419,Pict,-,7,8.6,-,-,-,-,-,48,-,5,69,A77,fkugel
26764,2023 02 11.8,59988.3002,C/2022 E3 (ZTF),1.209,0.419,Pict,-,-,10,-,-,-,-,1277,410,L,-,11.2,A77,jnicolas
26793,2023 02 11.8,59988.37152,C/2022 E3 (ZTF),1.209,0.419,Pict,-,-,-,-,-,-,-,-,820,L,-,-,-,pmartinez
26761,2023 02 12.7,59989.28472,C/2022 E3 (ZTF),1.215,0.443,Pict,-,-,-,-,-,-,-,-,48,A,-,-,-,fkugel
26763,2023 02 12.7,59989.29767,C/2022 E3 (ZTF),1.215,0.443,Pict,-,-,10.1,-,-,-,-,-,410,L,-,11.2,A77,jnicolas
26769,2023 02 12.8,59989.34305,C/2022 E3 (ZTF),1.215,0.443,Pict,-,6.6,10.8,15,5,0.75,73,-,407,L,7.5,6,-,nbiver
26758,2023 02 12.8,59989.35202,C/2022 E3 (ZTF),1.215,0.443,Pict,-,-,10.9,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26826,2023 02 12.8,59989.375,C/2022 E3 (ZTF),1.215,0.443,Pict,Spec,-,-,-,-,-,-,-,820,Y,-,-,B10,jpmasviel
26771,2023 02 13.8,59990.31247,C/2022 E3 (ZTF),-,-,Pict,-,-,11,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26768,2023 02 13.8,59990.31944,C/2022 E3 (ZTF),1.222,0.469,Pict,-,-,-,-,-,-,-,-,48,A,-,-,-,fkugel
26774,2023 02 13.8,59990.3883,C/2022 E3 (ZTF),1.222,0.469,Pict,-,-,11.3,-,-,-,-,-,250,L,-,6,G20,ydegotlonghi
26812,2023 02 15.7,59992.2936,C/2022 E3 (ZTF),1.235,0.523,Pict,-,-,10.7,-,-,-,-,1148,410,L,-,8.4,A77,jnicolas
26783,2023 02 17.8,59994.37611,C/2022 E3 (ZTF),1.249,0.58,Pict,-,-,11.4,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26794,2023 02 19.8,59996.31064,C/2022 E3 (ZTF),1.264,0.638,Pict,-,-,11.6,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26801,2023 02 20.7,59997.29594,C/2022 E3 (ZTF),1.271,0.667,Pict,-,-,11.6,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26807,2023 02 21.8,59998.35525,C/2022 E3 (ZTF),1.279,0.697,Pict,-,-,11.6,-,-,-,-,-,400,L,-,5.8,A77,fkugel
26822,2023 02 25.8,60002.39236,C/2022 E3 (ZTF),1.311,0.817,Pict,-,8.3,12.1,9,5,0.3,40,1120,407,L,4.5,6,-,nbiver